grid_id,road_length
0_52,1328.0923886718383
0_53,768.9839714620771
1_52,1812.0025674337753
1_53,2994.3558867097254
1_57,1505.345298525445
2_33,906.199479379114
2_35,1852.6736336206384
2_51,3622.901065467685
2_52,2397.160998570263
2_53,3037.6838366897405
2_55,2221.98966016474
2_56,2436.6356485486663
2_57,3172.49231314563
3_30,1431.392131857547
3_31,438.80424441972593
3_32,1240.8399387696309
3_33,1066.8536152957363
3_34,4337.490986901582
3_35,3445.6894732482187
3_36,1562.865061170125
3_48,246.28714169175504
3_49,625.3323562106268
3_50,1660.9234757838785
3_51,3094.945761391762
3_52,236.61490547466886
3_53,2677.34177172984
3_54,3917.5685690854484
3_55,2177.102513182672
3_56,2694.7296593249744
3_57,3083.8363563860603
4_20,672.1230854331147
4_21,1304.9315417352489
4_22,1853.2761822827133
4_23,2292.986745343627
4_24,840.1483329614932
4_25,2029.7199172277376
4_28,1283.9801809519788
4_29,3709.4761528369686
4_30,4641.409827766897
4_31,3023.264474242571
4_32,3345.353453576626
4_33,3552.3479479195476
4_34,3780.016344431725
4_35,4100.706440662999
4_36,3256.926959117734
4_47,1915.6756798240417
4_48,2281.5362970108736
4_49,3681.7870480592665
4_50,3355.6544960145243
4_51,3998.626792408051
4_52,3729.372280030954
4_53,2814.005989246075
4_54,3370.360496016528
4_55,3335.485350108712
4_56,3327.70097441939
4_57,2284.25254467485
5_20,1396.2622537316497
5_21,3335.230074027324
5_22,3953.4457288965414
5_23,5010.710039777413
5_24,3196.8501613905014
5_25,3665.6404608703733
5_26,3154.294106322759
5_27,2701.792265452662
5_28,3354.1541390465095
5_29,3244.831511680388
5_30,3104.8162075535333
5_31,3506.119363328948
5_32,3324.028391290212
5_33,3902.982968045999
5_34,3315.4304708381355
5_35,4053.8948489256477
5_37,295.9650645946148
5_46,2116.3944109701865
5_47,3344.2575158096533
5_48,3159.5899230087825
5_49,4081.959179007219
5_50,2853.7121370927803
5_51,2954.020675697593
5_52,3539.514602842868
5_53,2656.350326599797
5_54,653.3266159038282
5_55,2786.7874088921876
5_56,3640.1183072438594
5_57,2157.8980498265
5_58,657.2371160028681
5_59,2607.1630183330667
5_60,39.68178169218467
6_20,253.1948089499445
6_21,2919.7328744177225
6_22,3772.4701154821746
6_23,3473.924313562949
6_24,3543.73549647014
6_25,3121.1357935512865
6_26,3753.00909933652
6_27,3244.1026720024884
6_28,3765.758222947108
6_29,3300.1026363429814
6_30,4224.931415671275
6_31,4466.984907891863
6_32,3124.132948142421
6_33,3372.339612658283
6_34,2148.6860724940743
6_35,3417.6844543869024
6_36,1945.802751796603
6_37,227.63433121679554
6_46,1735.978230797172
6_47,2438.103251064576
6_48,2911.152063591228
6_49,1782.3471730068597
6_50,3262.436640291938
6_51,3280.515669193315
6_52,3294.5472207346393
6_53,3412.4590816440614
6_54,1239.6478390617049
6_55,2963.688760906644
6_56,2997.0522798375314
6_57,3104.5905202608246
6_58,3538.471837947847
6_59,3539.508297939793
6_60,3022.342538057954
6_61,2352.5438403386943
7_21,2190.60048448077
7_22,2020.2122943761392
7_23,3444.7820980297256
7_24,4747.415442975085
7_25,3357.990740602722
7_26,3662.677941494778
7_27,4109.654228283461
7_28,3781.9571698692494
7_29,3101.423304548203
7_30,3067.441453951588
7_31,4824.6692328224735
7_32,2547.2483934182615
7_33,1078.1837063637245
7_34,2004.8983097595667
7_35,1986.9463623557385
7_36,1280.770526631411
7_37,227.31086174975496
7_39,842.1041248707264
7_46,2135.999690560796
7_47,3227.913181827518
7_48,2473.609496838987
7_49,2706.2262456460157
7_50,3709.128498169203
7_51,3921.333542817884
7_52,2901.463349073965
7_53,2251.9585627083807
7_54,3448.5448860968486
7_55,4212.204896671287
7_56,2878.1671485477286
7_57,2191.967941974979
7_58,2764.8298788685092
7_59,2717.4850427465926
7_60,2017.6318778074224
7_61,3371.5172742894188
7_62,1769.5144196708486
8_21,2142.5726485446326
8_22,3966.204192359687
8_23,3275.2547128785386
8_24,5151.0457912976135
8_25,3848.075959339965
8_26,3290.674659917525
8_27,3046.79188387118
8_28,3785.2751487648966
8_29,3373.5969157843624
8_30,1610.1266273390133
8_31,2753.0698870666197
8_32,4087.396483219867
8_33,2791.1162324230468
8_34,2794.2551896321324
8_35,2949.9391809319222
8_36,3909.5112843160173
8_37,1526.0128415510317
8_39,2808.0379463633863
8_40,2966.1473071060714
8_46,1514.5118518579566
8_47,3013.1227760402967
8_48,3410.392605453069
8_49,3685.2524124353217
8_50,3306.6815572922337
8_51,3992.444633104211
8_52,3530.6558497256538
8_53,4714.304256501539
8_54,3678.0336341656443
8_55,4570.0350669467525
8_56,3428.5155673246027
8_57,64.06970032749477
8_59,2584.8989116202392
8_60,2580.0422327904585
8_61,3204.9696484230126
8_62,3898.7274550630445
9_17,2148.094690086695
9_19,2575.9519638640177
9_20,3117.426830298931
9_21,3469.0237864247465
9_22,3589.95578539557
9_23,2817.4585841950993
9_24,3930.280474309174
9_25,4136.405553256567
9_26,3492.2409579247883
9_27,2813.7352766549966
9_28,2673.4110945013745
9_29,3302.3630674647766
9_30,3143.9695447918207
9_31,1141.7784650818207
9_32,3004.9879324564727
9_33,3207.3061649188944
9_34,3753.9393102322992
9_35,1686.0266144929665
9_36,2208.7858311903
9_37,3222.214023258034
9_38,4007.294243556905
9_40,1216.2667358274434
9_41,896.7781099775176
9_43,2287.323164610674
9_44,2189.535440945047
9_45,969.6281523210829
9_48,3016.7262602084206
9_49,3902.5258295106746
9_50,2365.4703870996605
9_51,4243.581805591005
9_52,4616.794792629363
9_53,4023.9058998333408
9_54,2560.674694047423
9_55,4848.389510193193
9_56,4041.3813361157477
9_57,1394.442654397456
9_59,2006.8759699907728
9_60,2732.3494471456884
9_61,1543.1963147777124
9_62,2025.3328989355525
10_18,1550.5148827769592
10_19,2349.3216750441725
10_20,3808.649330395418
10_21,2972.4019314516677
10_22,3751.4244747449643
10_23,3501.4901293315797
10_24,3257.247086119838
10_25,3080.328891560848
10_26,3812.9822474741713
10_27,2998.2406066485955
10_28,2651.3745617098693
10_29,2403.044432631362
10_30,3047.8829096571403
10_31,4219.7964229116
10_32,2033.9434785036385
10_33,3266.781125270843
10_34,2268.09235937675
10_35,198.32278516328228
10_36,3277.1877339834623
10_37,3847.0310667109425
10_38,4274.198558628956
10_39,4055.9446761558866
10_40,369.8709743789892
10_41,1196.1373723856645
10_42,3665.4592918038297
10_43,3738.8844898743073
10_44,1484.7323612600724
10_45,3006.7877383173386
10_46,891.9400351763502
10_47,228.52566453478153
10_48,3224.2800662076097
10_49,3612.6576941451704
10_50,3834.7617175971222
10_51,4270.270728436651
10_52,6282.0391887982805
10_53,4157.786900907477
10_54,3102.7216233118006
10_55,4422.428309588144
10_56,3190.1528591938877
10_57,4014.250218941994
10_58,3667.9128320759814
10_59,3978.4688436721854
10_60,2963.205764545959
10_61,3475.701582674356
10_62,3719.740326100061
10_63,908.0234098974895
10_64,1851.3243810403324
11_20,2167.4287688039694
11_21,2865.3182718754683
11_22,3752.939723407611
11_23,3121.5959979670033
11_24,3179.588390582479
11_25,1598.198909798254
11_26,3789.293868885585
11_27,3171.3628096555453
11_28,3629.4818814833234
11_29,4441.841856256726
11_30,4103.153129876766
11_31,3380.559991629663
11_32,2129.6314931928723
11_33,1700.3901848673004
11_34,4248.423085050653
11_35,648.8915763579953
11_36,984.6712561123873
11_37,3725.494650172173
11_38,3299.6331069593616
11_39,3372.4479698484
11_40,3254.2147632806827
11_41,2522.140168215468
11_42,2372.600279656748
11_43,4444.004610479527
11_44,3439.651326212075
11_45,1908.8244354316241
11_46,2019.1325752575242
11_47,1291.1323676550667
11_48,3373.8886404924815
11_49,2990.1567808147465
11_50,4176.571635258606
11_51,5014.963368842646
11_52,4475.4699025373975
11_53,5607.288527381357
11_54,3673.996131744102
11_55,2405.9627654345863
11_56,762.2514020376826
11_57,2429.369939358365
11_58,3296.1453190587777
11_59,3438.636752749556
11_60,3292.564411101635
11_61,2394.008590401932
11_62,3615.588788366898
11_63,3893.3848162981417
11_64,4404.280907860604
12_19,0.0
12_20,1199.9003442396922
12_21,3650.2285791071254
12_22,2069.814113320934
12_23,1913.6227931244491
12_24,4406.185782930159
12_25,2993.7292215205157
12_26,1745.331100406602
12_27,3067.0796577804517
12_28,3756.6513269192915
12_29,2071.8064390753743
12_30,2344.94583034797
12_31,2315.9716419334727
12_32,3596.523944629877
12_33,745.7749928374346
12_34,2847.9468118038435
12_35,2897.4104181313505
12_36,3593.7263555248746
12_37,3119.577116651297
12_38,4070.2936178066066
12_39,3152.0321434095695
12_40,4270.319422539433
12_41,3874.4243920559816
12_42,3596.0862362020134
12_43,3082.9701128301294
12_44,3381.3328652684445
12_45,2692.5922482851083
12_46,2938.3791373468307
12_47,3594.5529601579487
12_48,3357.127342267414
12_49,4073.6560571358013
12_50,3510.81541225206
12_51,3676.4109473603517
12_52,3572.161062966426
12_53,2413.436453136021
12_54,3494.4494263411575
12_55,4140.710365467173
12_56,2557.0628229470103
12_57,4050.4872608685196
12_58,4352.874575561625
12_59,4452.4862662587975
12_60,3282.21907828547
12_61,3548.280734753399
12_62,3692.595793250527
12_63,3450.4993075528355
12_64,2134.985305555945
12_65,1259.956402652387
13_20,465.1145159218557
13_21,1645.9162457088262
13_22,3768.647339687541
13_23,3896.653116404833
13_24,4851.795317763605
13_25,2238.241628534867
13_26,2918.392811506906
13_27,3145.96090041414
13_28,3964.2655488339888
13_29,3962.29314576922
13_30,3500.5180105633403
13_31,2447.551143530238
13_32,1942.1146528484853
13_33,3372.2649753044725
13_34,4434.493753488923
13_35,2892.6490563174175
13_36,3171.373126627212
13_37,2828.734469781643
13_38,2264.061557758536
13_39,3385.8261348637084
13_40,4190.807970214255
13_41,1711.0436063357063
13_42,1344.0062056465913
13_43,600.6666642237175
13_44,3988.2101854173457
13_45,4356.717446046433
13_46,3435.1046369831893
13_47,4434.151128750914
13_48,3006.8580277665947
13_49,4113.041037524801
13_50,1979.895915869474
13_51,2909.542489797918
13_52,2238.2992461692515
13_53,2262.915407832741
13_54,3328.337543004336
13_55,3646.0084388518553
13_56,3920.557856471828
13_57,4090.533456349069
13_58,3626.5678344272146
13_59,3117.032258764874
13_60,1218.8180847881
13_61,1239.7772245534588
13_62,2496.0411708660617
13_63,2150.8016120140724
14_21,888.550355041258
14_22,1034.9883300275596
14_23,1404.40254014761
14_24,1800.5533729006295
14_25,2230.002381935164
14_26,2630.8509403208277
14_27,4148.757503624297
14_28,3808.9832167872955
14_29,2890.700432378733
14_30,1043.3018482683492
14_31,2074.271404036213
14_32,2017.2447167535813
14_33,2214.9166710441023
14_34,3832.5464017793943
14_35,4091.9654447109765
14_36,1618.872994097555
14_37,4620.5050087907775
14_38,3770.15073051561
14_39,4080.498676036422
14_40,5065.455435360732
14_41,3332.761194605294
14_42,2560.0020736460324
14_43,3135.3653375806202
14_44,4206.839042439411
14_45,3159.616545568727
14_46,3636.753516320652
14_47,2639.4219490160394
14_48,1789.0126397476415
14_49,3982.623531752841
14_50,4197.495930882626
14_51,1438.3816120745546
14_52,3247.860718456045
14_53,3462.9267741783283
14_54,2201.347267137671
14_55,3561.453176020236
14_56,4796.652823988027
14_57,3758.196272361326
14_58,3101.9252860658407
14_59,3883.76920536115
14_60,3453.3973517061386
14_61,2538.462108220807
14_62,329.0030325766962
14_63,312.0021016273955
15_23,1282.9419789648853
15_24,2136.5508768997433
15_25,2871.0559363898656
15_26,4051.824399455751
15_27,2298.0288664547047
15_28,1976.3758314066843
15_29,3850.267650132976
15_30,1402.9977238131519
15_31,1880.5345185307358
15_32,1195.5948043908147
15_33,1309.379797993661
15_34,4031.6940134507613
15_35,4622.841573836748
15_36,4511.383928647955
15_37,3932.637031911532
15_38,3365.0447432413725
15_39,546.3574922646499
15_40,1758.179414612431
15_41,3350.9687652406524
15_42,4023.511813152082
15_43,4151.954201846082
15_44,3126.9797880590554
15_45,2746.128045651079
15_46,2352.6314301688535
15_47,896.7750375673781
15_48,3495.0874245337914
15_49,3747.6024563120964
15_50,3222.36865624594
15_51,2431.8797344849613
15_52,5045.020448145927
15_53,3887.501963354969
15_54,2442.419128291092
15_55,4647.950088211078
15_56,3652.73393657015
15_57,2561.788541824544
15_58,2804.880926431034
15_59,3903.6119363519215
15_60,3221.6086645582336
15_61,2005.782945944583
15_62,878.9257559771829
16_20,2095.8088548597193
16_21,721.4608017073056
16_23,2970.505468957343
16_24,3972.1266682708692
16_25,4043.524655662113
16_26,3356.029916551781
16_27,3635.9802075699326
16_28,3640.2905180465
16_29,3460.3438035874547
16_30,3343.4345225366924
16_31,4322.433302543333
16_32,4374.145891049408
16_33,2535.4217325375107
16_34,2593.4531060923928
16_35,3714.5650478248963
16_36,4896.81088103023
16_37,2768.451351719149
16_38,3060.460848834669
16_39,4455.394970348381
16_40,2027.0567751358637
16_41,3104.457485607181
16_42,2727.8870206213687
16_43,4090.9677253164396
16_44,2411.8494191053423
16_45,2753.882351175504
16_46,2632.645962589945
16_47,2696.168226342141
16_48,3560.5606325045715
16_49,3484.869985042946
16_50,4024.258004854638
16_51,2903.1888029553256
16_52,4372.550944969733
16_53,1399.4585947913647
16_54,2621.659579692324
16_55,2940.6796124747443
16_56,3754.5983038023537
16_57,2777.409756667484
16_58,3523.8919802242713
16_59,3366.383933118725
16_60,1415.009602156423
16_61,248.73389731423947
17_19,660.4430914286459
17_20,3779.9162550527976
17_21,3253.7304943046256
17_22,1858.0498067155079
17_23,1349.9143354058433
17_24,4248.301404178691
17_25,3808.0307711097676
17_26,2602.3875058221734
17_27,3047.1116484487297
17_28,3763.7870569825423
17_29,3009.327037196901
17_30,4089.135913381479
17_31,3389.3332954266652
17_32,2449.575973724423
17_33,3830.177437795309
17_34,3666.49832914275
17_35,3605.347878953826
17_36,5116.859941438727
17_37,1229.3401742321564
17_38,561.5846863801211
17_39,2600.8895644336335
17_40,4399.184249126589
17_41,1949.268636049495
17_42,1106.6240384586044
17_43,4161.852434359168
17_44,3560.9511977069988
17_45,4266.969956702005
17_46,3077.51905199633
17_47,3474.953382383436
17_48,4326.867585865512
17_49,4234.4316686688835
17_50,5147.811842493932
17_51,3738.872025290559
17_52,4217.588656406291
17_53,1173.620860741894
17_54,2096.6020672050886
17_55,2400.2629007873143
17_56,4012.9844746166395
17_57,3541.2397943639435
17_58,3940.277283372579
17_59,1057.836919254782
17_60,403.30737366594286
18_19,822.7047206035284
18_20,2879.240716692937
18_21,3975.7887941292543
18_22,3032.0746531683276
18_23,3237.8649335408354
18_24,3271.304003671807
18_25,2983.1494192120063
18_26,3263.5286502661893
18_27,3383.3734837113902
18_28,4226.0000336928
18_29,3908.51778728867
18_30,3161.578501554723
18_31,4187.794111706346
18_32,1097.1148378702846
18_33,2470.8816050393016
18_34,3821.325182131515
18_35,4568.492599281725
18_36,3869.952927877921
18_37,3610.540915943654
18_38,2231.076157991526
18_39,3442.728578549534
18_40,4791.797173691851
18_41,2194.3957128659454
18_42,3076.3688464042843
18_43,2378.3187650377363
18_44,3200.7341973565376
18_45,3301.002533876212
18_46,4461.902175283087
18_47,2339.29419208025
18_48,4060.2456773009653
18_49,3298.76356592448
18_50,3806.6232551790345
18_51,3150.4261462356812
18_52,3911.1471974161573
18_53,3078.1017235369404
18_54,1389.2100428191911
18_55,3069.8431445240426
18_56,4315.665336314203
18_57,3977.9807145475315
18_58,3433.240758204949
18_59,1679.6097355091485
18_60,281.74380550903334
19_20,845.5740979241157
19_21,3967.9139038772014
19_22,3944.470333849081
19_23,3318.8925511215366
19_24,2809.126579046556
19_25,1589.232300833497
19_26,2045.4273316145793
19_27,3299.1917380061855
19_28,4185.720379712279
19_29,3403.4479725442466
19_30,1831.2202933498183
19_31,3289.363795594828
19_32,3545.4871821609145
19_33,1960.4376984623111
19_34,1945.6978979792495
19_35,3412.194415052797
19_36,4398.478650721064
19_37,3433.823856924627
19_38,1612.1856120134603
19_39,2125.7291463017195
19_40,3499.2225525805466
19_41,3320.7565093323396
19_42,4132.57586932053
19_43,4147.391915456296
19_44,1960.241997672863
19_45,2719.2112546572585
19_46,3549.3183603859857
19_47,2946.9134973168602
19_48,3366.26555157384
19_49,3786.2262545649137
19_50,3801.531960118593
19_51,3724.4576995931134
19_52,3328.43265646269
19_53,1296.7041425215775
19_54,1436.4374099693396
19_55,2002.5880390925845
19_56,4659.278781804752
19_57,2057.158960472445
19_58,3815.004634114553
19_59,4128.628648991149
19_60,3682.4404591724488
19_61,1002.5608592054733
20_21,3390.672877704536
20_22,4376.634773336562
20_23,4232.600911793371
20_24,2800.383433087219
20_25,2399.7471215869923
20_26,3233.213873120212
20_27,2683.2134366170653
20_28,2355.8694035730896
20_29,2318.039321918242
20_30,3429.4138984611404
20_31,3346.7773133653936
20_32,2284.8818004358864
20_33,673.6294707088555
20_34,1799.828927490092
20_35,3952.546823589466
20_36,3521.9998333856424
20_37,4503.979583193133
20_38,4098.306983388333
20_39,4220.891402058545
20_40,3403.260591960552
20_41,4042.8573898933582
20_42,3996.3754758319074
20_43,4932.842343385476
20_44,2820.930753374034
20_45,3473.5073483266347
20_46,3351.1029881405952
20_47,3752.661435630073
20_48,2125.4391654930414
20_49,3172.288212516145
20_50,2782.629470981628
20_51,4015.4813278212155
20_52,3412.7076810350136
20_53,4099.415048436158
20_54,4531.916451195349
20_55,864.2169669422617
20_56,2917.95411300631
20_57,3878.9404470432273
20_58,3573.2587183318155
20_59,3928.7985787212856
20_60,3927.1130823625176
20_61,1810.4153817021565
21_21,2403.3059633495013
21_22,4324.799358642849
21_23,4300.796671429187
21_24,2276.665505131944
21_25,2722.354833942333
21_26,3265.440485157243
21_27,3553.852985207808
21_28,3670.493041557693
21_29,4013.207517302289
21_30,2339.0561636144075
21_31,2265.6056531394456
21_32,1290.2811314421974
21_33,967.9593804448064
21_34,3110.829964810913
21_35,2744.1067889846827
21_36,3034.4893318898053
21_37,2818.8244864495045
21_38,3311.0327465925566
21_39,3298.974625509617
21_40,4205.411746193601
21_41,2820.1743418386786
21_42,2143.9893559392744
21_43,3800.3407003430852
21_44,2975.8614068039396
21_45,2747.6950373373293
21_46,3391.07285572675
21_47,4192.488914462085
21_48,1994.0544609421581
21_49,1935.2977355467451
21_50,2926.0507466795466
21_51,3207.132594192627
21_52,3475.6612266819425
21_53,4334.031531931984
21_54,3286.4438541361264
21_55,3377.4510971543195
21_56,4324.751914139867
21_57,2679.5923275788105
21_58,2986.083122075707
21_59,2791.8132634786593
21_60,3828.8241736193913
21_61,2314.102399482449
22_21,1478.0808437194962
22_22,3648.3124493126074
22_23,3694.5334239397193
22_24,2625.617992701421
22_25,1291.448161262789
22_26,1087.3431902789885
22_27,3174.3138592910136
22_28,5486.706570683666
22_29,3746.8009420397316
22_30,4140.3699811297565
22_31,3346.5245385215353
22_32,2778.9183619311707
22_33,2181.9290513001056
22_34,2755.164448913101
22_35,3786.513980013905
22_36,1833.3713400898318
22_37,4124.596391005756
22_38,1388.5741260890434
22_39,1670.092088354644
22_40,3937.0210690593954
22_41,4262.5848510633505
22_42,4471.3459840122605
22_43,4204.460052459209
22_44,3847.1867588686937
22_45,1685.5122542155752
22_46,1137.7578784608927
22_47,3783.18775881399
22_48,3916.2049528889775
22_49,4107.515472884262
22_50,3336.2584796913056
22_51,3511.5763081089153
22_52,1735.2538427490913
22_53,4491.807881584347
22_54,2756.0684898329264
22_55,3752.7745150300693
22_56,4195.216545840882
22_57,3898.759353537965
22_58,4732.392448734254
22_59,3767.9238992449646
22_60,3706.655600480589
22_61,1696.9240065272752
23_12,1842.8812878308217
23_13,1189.9801734279804
23_22,2972.6433341939914
23_23,1144.1898054215656
23_24,1261.0581107445887
23_25,872.0547800155454
23_26,2155.3557745614075
23_27,3742.6105442085227
23_28,3747.272113283121
23_29,3753.9775864996245
23_30,4300.037789865492
23_31,4195.247196887612
23_32,3764.0672529293693
23_33,3701.7443747400384
23_34,985.0003577702033
23_35,4278.948127206672
23_37,3958.0309340708773
23_38,240.189435949734
23_39,1002.9512025598369
23_40,4009.111384116719
23_41,3488.5547630277647
23_42,2435.7987546545733
23_43,2698.9033401715783
23_44,3511.7463549768654
23_45,1872.5976288826128
23_46,2944.1854432925593
23_47,2751.20801837623
23_48,3464.8442248034844
23_49,4866.958222575778
23_50,4578.0570965377965
23_51,3476.651247867381
23_52,2289.1599409907813
23_53,4069.6197927121675
23_54,3279.326610059633
23_55,4026.1780258327417
23_56,4407.125428757947
23_57,3581.1058877209434
23_58,3110.689176218712
23_59,3783.1280524453864
23_60,3276.8356334212517
24_12,4055.316894261493
24_13,2120.5856777696736
24_19,1337.7310572241142
24_22,2403.684828756203
24_23,2234.3148072027934
24_24,594.82544393847
24_25,3437.0910360156618
24_26,3663.5265399808086
24_27,3752.276450523726
24_28,3811.952401378233
24_29,2418.3772313542627
24_30,3753.9773366029153
24_31,3594.506115045726
24_32,2222.2319900260577
24_33,2517.25982615386
24_34,2324.2605020562905
24_35,2568.686630336359
24_36,3851.255909154468
24_37,882.8903579846542
24_38,2274.8089344204095
24_39,2239.5388602848616
24_40,2347.5789762453815
24_41,2578.318323575044
24_42,2793.7100233683263
24_43,1089.111444089648
24_44,1820.8318568470656
24_45,3891.8667324043518
24_46,4200.931260812975
24_47,3079.709792099582
24_48,2805.6005593931827
24_49,4163.546645932251
24_50,1955.2890701603383
24_51,962.9203359335945
24_52,4084.090393737829
24_53,4779.678621912501
24_54,3477.1502936363063
24_55,4342.824586772988
24_56,1863.2874165086862
24_57,400.61669983707145
24_58,4009.9347865032946
24_59,3033.9576828106847
24_60,1936.4619681680258
24_61,2042.2205385960199
24_62,635.4105935388628
25_10,3988.3091784239064
25_11,3874.8525654637856
25_12,4239.147941130006
25_13,1551.277199175565
25_18,2406.535485980691
25_19,523.7391319012021
25_20,788.2426277434006
25_21,1694.5770726596086
25_22,2532.321197759901
25_23,3884.457595092463
25_24,4370.5454602816135
25_25,3872.127204924228
25_26,5037.2647645636325
25_27,3982.2015937678525
25_28,2351.9968876893827
25_29,2703.9860106110486
25_30,3919.9100516858703
25_31,3574.3511745984197
25_32,4666.84867822457
25_33,3461.3841635244135
25_34,3352.682343351116
25_35,2472.564631133367
25_36,2158.978594609987
25_37,1852.7331927492114
25_38,2511.8465242004927
25_39,1518.6267016580684
25_40,2838.671638223669
25_41,2832.514727012891
25_42,3051.46403118639
25_43,1440.189466850411
25_44,1922.199411221394
25_45,3632.665873152161
25_46,4664.113446923945
25_47,4110.757969686146
25_48,3698.3308406869437
25_49,3653.9163552507225
25_50,3424.3087453048684
25_51,2462.9629862025545
25_52,2428.5783340782846
25_53,3997.321114267176
25_54,3333.5019536492814
25_55,1521.5220155303425
25_56,1618.7008665890787
25_57,1533.5902212872832
25_58,1643.0923960513246
25_59,970.2466290813143
25_60,4050.379532199992
25_61,4869.628530887808
25_62,3652.625905607474
26_8,45.09988998051632
26_9,3429.049950336084
26_10,4490.716624163144
26_11,2966.461649397789
26_12,3377.6264064407865
26_13,3844.5496086090666
26_14,372.50686714142535
26_18,2971.1789473539193
26_19,3454.1524160375666
26_20,2850.609546155328
26_21,3557.2577238103936
26_22,2411.631022298945
26_23,3567.333482465926
26_24,3043.4489670608864
26_25,4590.454933933274
26_26,3904.642710951095
26_27,2724.647439749015
26_28,273.78428184293847
26_29,3437.7897448303975
26_30,4827.265304203383
26_31,3716.9984260089905
26_32,3187.7210065374584
26_33,2460.8741416724565
26_34,4346.4072878859815
26_35,3768.1463187264026
26_36,2691.180895540119
26_37,3115.835999590434
26_38,5080.484510753811
26_39,3120.269550684697
26_40,4056.2954586703545
26_41,3505.926218275438
26_42,3971.881335831095
26_43,3990.628589007354
26_44,2375.0570825205973
26_45,3433.341966220588
26_46,4240.492367147912
26_47,3567.919687699245
26_48,3820.0720751159174
26_49,2393.8002067290936
26_50,2718.3679664844976
26_51,1358.0434713908226
26_52,2287.207033670249
26_53,4587.943979764324
26_54,3378.801181110857
26_55,4608.813721512998
26_56,4909.921290714452
26_57,3339.470592719881
26_58,1899.7184440985543
26_59,3753.694023493804
26_60,4653.127345065584
26_61,2904.6516934241386
26_62,3291.7544066719784
26_63,3394.378640413398
26_64,912.9789093223677
27_8,1516.8328962016133
27_9,4501.244130094911
27_10,2984.411364704047
27_11,2679.7052374059945
27_12,3877.6187148122194
27_13,4063.6064488893894
27_14,1500.0029419888442
27_17,1526.8867445389506
27_18,3497.711907488314
27_19,4426.100259238559
27_20,3187.532386052594
27_21,1933.4372483652899
27_22,0.0
27_23,1822.3030472112548
27_24,2518.525886417713
27_25,4844.408214461799
27_26,6069.156863495467
27_27,4757.727006210117
27_28,3316.7491569740405
27_29,3799.282239376942
27_30,2310.705273362484
27_31,3625.859550439231
27_32,3789.7910432832623
27_33,2228.890667219724
27_34,3626.258560950928
27_35,1431.4317963529804
27_36,3784.2524383760424
27_37,4758.226667093052
27_38,5152.417769169967
27_39,4483.294145019113
27_40,3877.647046916752
27_41,3138.75025380026
27_42,4530.909176800627
27_43,5129.330779509994
27_44,2732.276574954481
27_45,3621.544186487326
27_46,3569.737420430219
27_47,3182.8362819917375
27_48,3985.5598396664254
27_49,4322.734672249678
27_50,4196.53722106543
27_51,3947.329108970519
27_52,4223.940870143769
27_53,4011.5735386886317
27_54,2530.2376270423033
27_55,1867.145768760471
27_56,4188.7266045444185
27_57,2992.9883130069265
27_58,2013.60278529278
27_59,4172.559756965684
27_60,4722.618828802127
27_61,3246.2750606182367
27_62,3355.0431712830186
27_63,1712.9818217534198
28_7,2620.948685904449
28_8,251.59639415194866
28_9,4878.438994478728
28_10,4996.816606187187
28_11,1878.9040680286641
28_12,3489.40935767958
28_13,5389.140576398574
28_14,1895.6309057281653
28_17,1311.783515995704
28_18,862.8280599334735
28_19,2606.423602107846
28_20,2787.686636673435
28_21,3187.05752543885
28_22,1256.4553500700058
28_23,2562.8288079193458
28_24,4926.947958103767
28_25,5167.023630120205
28_26,4549.374106576527
28_27,4352.064412231975
28_28,4327.333006257137
28_29,4238.89252283448
28_30,3292.1265855485094
28_31,3716.1972744071422
28_32,3837.2873607010583
28_33,3511.1591574720896
28_34,2680.005450834397
28_35,2006.4382580081462
28_36,3353.6509798606903
28_37,6077.963597339514
28_38,4484.763865723848
28_39,5725.064076598092
28_40,4200.982630246315
28_41,3308.6811343650807
28_42,4373.432929601371
28_43,2116.5607293103067
28_44,2957.315096652639
